,sentID.BTEC,split,lang,sent,sent_kuwaiti_GPT_Translated,sent_kuwaiti,Type (B/H),Translator Initials,sent_kuwaiti_punctuation_removed,sent_punctuation_removed,sent_kuwaiti_punctuation_removed_and_tashkeel,sent_punctuation_removed_and_tashkeel,sent_kuwaiti_punctuation_removed_and_tashkeel_and_normlaized,sent_punctuation_removed_and_tashkeel_and_normlaized
10308,17172,corpus-6-train,MSA,هل يوجد لديكم بطاقة وصول ؟,عندكم كرت وصول؟,عندكم كرت وصل؟,B,Y,عندكم كرت وصل,هل يوجد لديكم بطاقة وصول ,عندكم كرت وصل,هل يوجد لديكم بطاقة وصول ,عندكم كرت وصل,هل يوجد لديكم بطاقه وصول 
10309,17173,corpus-6-train,MSA,ماذا تقدمون مع اللحم ؟,شنو تقدمون مع اللحم؟,شنو تقدمون مع اللحم؟,B,Y,شنو تقدمون مع اللحم,ماذا تقدمون مع اللحم ,شنو تقدمون مع اللحم,ماذا تقدمون مع اللحم ,شنو تقدمون مع اللحم,ماذا تقدمون مع اللحم 
10310,17174,corpus-6-train,MSA,دعني أنظر .,خلني أشوف.,خلني أشوف.,B,Y,خلني أشوف,دعني أنظر ,خلني أشوف,دعني أنظر ,خلني اشوف,دعني انظر 
10311,17175,corpus-6-train,MSA,دعني أقيس هذا من فضلك .,خلني أقيس هالشي لو سمحت.,خلني أقيس هالشي لو سمحت.,B,Y,خلني أقيس هالشي لو سمحت,دعني أقيس هذا من فضلك ,خلني أقيس هالشي لو سمحت,دعني أقيس هذا من فضلك ,خلني اقيس هالشي لو سمحت,دعني اقيس هذا من فضلك 
10312,17176,corpus-6-train,MSA,هيا بنا نذهب لمشاهدة مباراة تنس .,يلا نروح نشوف مباراة تنس.,يلا نروح نشوف مباراة تنس.,B,Y,يلا نروح نشوف مباراة تنس,هيا بنا نذهب لمشاهدة مباراة تنس ,يلا نروح نشوف مباراة تنس,هيا بنا نذهب لمشاهدة مباراة تنس ,يلا نروح نشوف مباراه تنس,هيا بنا نذهب لمشاهده مباراه تنس 
10313,17177,corpus-6-test-corpus-26-train,MSA,ما هي الأنواع التي لديكم ؟,شنو الأنواع اللي عندكم؟,شنو الأنواع اللي عندكم؟,B,Y,شنو الأنواع اللي عندكم,ما هي الأنواع التي لديكم ,شنو الأنواع اللي عندكم,ما هي الأنواع التي لديكم ,شنو الانواع اللي عندكم,ما هي الانواع التي لديكم 
10314,17178,corpus-6-train,MSA,من فضلك ، أحضر لي وسادة .,لو سمحت، جيب لي مخدة.,لو سمحت، جيب لي مخدة.,B,Y,لو سمحت جيب لي مخدة,من فضلك  أحضر لي وسادة ,لو سمحت جيب لي مخدة,من فضلك  أحضر لي وسادة ,لو سمحت جيب لي مخده,من فضلك  احضر لي وساده 
10315,17179,corpus-6-test-corpus-26-dev,MSA,أوافق . إنه أحد الأماكن المفضلة لي .,أوافق. هذا واحد من الأماكن المفضلة عندي.,صح. هذا واحد من الأماكن المفضلة عندي.,B,Y,صح هذا واحد من الأماكن المفضلة عندي,أوافق  إنه أحد الأماكن المفضلة لي ,صح هذا واحد من الأماكن المفضلة عندي,أوافق  إنه أحد الأماكن المفضلة لي ,صح هذا واحد من الاماكن المفضله عندي,اوافق  انه احد الاماكن المفضله لي 
10316,17180,corpus-6-test-corpus-26-train,MSA,ما هو نوع النموذج الذي تفكر فيه ؟,شنو نوع النموذج اللي تفكر فيه؟,شنو نوع النموذج اللي تفكر فيه؟,B,Y,شنو نوع النموذج اللي تفكر فيه,ما هو نوع النموذج الذي تفكر فيه ,شنو نوع النموذج اللي تفكر فيه,ما هو نوع النموذج الذي تفكر فيه ,شنو نوع النموذج اللي تفكر فيه,ما هو نوع النموذج الذي تفكر فيه 
10317,17181,corpus-6-train,MSA,لماذا لا نستطيع أن نقيم في الفندق الذي حجزنا فيه ؟,ليش ما نقدر نقعد بالفندق اللي حجزنا فيه؟,ليش ما نقدر نقعد بالفندق اللي حجزنا فيه؟,B,Y,ليش ما نقدر نقعد بالفندق اللي حجزنا فيه,لماذا لا نستطيع أن نقيم في الفندق الذي حجزنا فيه ,ليش ما نقدر نقعد بالفندق اللي حجزنا فيه,لماذا لا نستطيع أن نقيم في الفندق الذي حجزنا فيه ,ليش ما نقدر نقعد بالفندق اللي حجزنا فيه,لماذا لا نستطيع ان نقيم في الفندق الذي حجزنا فيه 
10318,17185,corpus-6-train,MSA,الرقم خطأ .,الرقم غلط.,الرقم غلط.,B,Y,الرقم غلط,الرقم خطأ ,الرقم غلط,الرقم خطأ ,الرقم غلط,الرقم خطا 
10319,17192,corpus-6-train,MSA,إن طبق الضلوع متميز جدا اليوم .,طبق الريش اليوم مميز حيل.,صحن الريش اليوم مميز حيل.,B,Y,صحن الريش اليوم مميز حيل,إن طبق الضلوع متميز جدا اليوم ,صحن الريش اليوم مميز حيل,إن طبق الضلوع متميز جدا اليوم ,صحن الريش اليوم مميز حيل,ان طبق الضلوع متميز جدا اليوم 
10320,17196,corpus-6-dev,MSA,إنه يوم الخميس .,اليوم الخميس.,اليوم الخميس.,B,Y,اليوم الخميس,إنه يوم الخميس ,اليوم الخميس,إنه يوم الخميس ,اليوم الخميس,انه يوم الخميس 
10321,17198,corpus-6-train,MSA,ما هي أشهر مسرحية موسيقية الآن ؟,شنو أشهر مسرحية غنائية الحين؟,شنو أشهر مسرحية غنائية الحين؟,B,Y,شنو أشهر مسرحية غنائية الحين,ما هي أشهر مسرحية موسيقية الآن ,شنو أشهر مسرحية غنائية الحين,ما هي أشهر مسرحية موسيقية الآن ,شنو اشهر مسرحيه غناءيه الحين,ما هي اشهر مسرحيه موسيقيه الان 
10322,17199,corpus-6-train,MSA,هل أجعله يتصل بك عندما يصل ؟,تبيني أخليه يتصل فيك لمن يوصل؟,تبيني أخليه يدق عليك لمن يوصل؟,B,Y,تبيني أخليه يدق عليك لمن يوصل,هل أجعله يتصل بك عندما يصل ,تبيني أخليه يدق عليك لمن يوصل,هل أجعله يتصل بك عندما يصل ,تبيني اخليه يدق عليك لمن يوصل,هل اجعله يتصل بك عندما يصل 
10323,17204,corpus-6-test-corpus-26-test,MSA,اسمي ميتشكو تاناكا ، ورقم الرحلة إلى طوكيو هو خمسة ، صفر ، واحد .,اسمي ميتشكو تاناكا، ورقم الرحلة إلى طوكيو هو خمسة، صفر، واحد.,اسمي سعود احمد، ورقم الرحلة إلى طوكيو هو خمسة، صفر، واحد.,B,Y,اسمي سعود احمد ورقم الرحلة إلى طوكيو هو خمسة صفر واحد,اسمي ميتشكو تاناكا  ورقم الرحلة إلى طوكيو هو خمسة  صفر  واحد ,اسمي سعود احمد ورقم الرحلة إلى طوكيو هو خمسة صفر واحد,اسمي ميتشكو تاناكا  ورقم الرحلة إلى طوكيو هو خمسة  صفر  واحد ,اسمي سعود احمد ورقم الرحله الا طوكيو هو خمسه صفر واحد,اسمي ميتشكو تاناكا  ورقم الرحله الا طوكيو هو خمسه  صفر  واحد 
10324,17205,corpus-6-train,MSA,من فضلك أرسل هذا الخطاب عن طريق خدمة التسليم الخاص .,لو سمحت دز هالرسالة عن طريق خدمة التوصيل الخاص.,لو سمحت دز هالخطاب عن طريق خدمة التسليم الخاص.,B,Y,لو سمحت دز هالخطاب عن طريق خدمة التسليم الخاص,من فضلك أرسل هذا الخطاب عن طريق خدمة التسليم الخاص ,لو سمحت دز هالخطاب عن طريق خدمة التسليم الخاص,من فضلك أرسل هذا الخطاب عن طريق خدمة التسليم الخاص ,لو سمحت دز هالخطاب عن طريق خدمه التسليم الخاص,من فضلك ارسل هذا الخطاب عن طريق خدمه التسليم الخاص 
10325,17209,corpus-6-train,MSA,إن نظام تطوير المنتج لديكم مساير للحفاظ على البيئة جداً .,ترى نظام تطوير المنتج عندكم وايد محافظ على البيئة.,ترى نظام تطوير المنتج عندكم وايد محافظ على البيئة.,B,Y,ترى نظام تطوير المنتج عندكم وايد محافظ على البيئة,إن نظام تطوير المنتج لديكم مساير للحفاظ على البيئة جدا ,ترى نظام تطوير المنتج عندكم وايد محافظ على البيئة,إن نظام تطوير المنتج لديكم مساير للحفاظ على البيئة جدا ,ترا نظام تطوير المنتج عندكم وايد محافظ علا البيءه,ان نظام تطوير المنتج لديكم مساير للحفاظ علا البيءه جدا 
10326,17212,corpus-6-train,MSA,كل هذه الطعام المليء بالدهون ما زال في معدتي .,كل هالأكل المليان دهون للحين بمعدتي.,كل هالأكل المليان دهون للحين بمعدتي.,B,Y,كل هالأكل المليان دهون للحين بمعدتي,كل هذه الطعام المليء بالدهون ما زال في معدتي ,كل هالأكل المليان دهون للحين بمعدتي,كل هذه الطعام المليء بالدهون ما زال في معدتي ,كل هالاكل المليان دهون للحين بمعدتي,كل هذه الطعام المليء بالدهون ما زال في معدتي 
10327,17216,corpus-6-test-corpus-26-train,MSA,من فضلك ، هل رسمت لي خريطة بسيطة من هنا ؟,لو سمحت، تقدر ترسم لي خريطة بسيطة من هني؟,لو سمحت، تقدر ترسم لي خريطة بسيطة من هني؟,B,Y,لو سمحت تقدر ترسم لي خريطة بسيطة من هني,من فضلك  هل رسمت لي خريطة بسيطة من هنا ,لو سمحت تقدر ترسم لي خريطة بسيطة من هني,من فضلك  هل رسمت لي خريطة بسيطة من هنا ,لو سمحت تقدر ترسم لي خريطه بسيطه من هني,من فضلك  هل رسمت لي خريطه بسيطه من هنا 
10329,17218,corpus-6-train,MSA,من فضلك ، نظم الغرفة .,لو سمحت، رتب الغرفة.,لو سمحت، رتب الغرفة.,B,Y,لو سمحت رتب الغرفة,من فضلك  نظم الغرفة ,لو سمحت رتب الغرفة,من فضلك  نظم الغرفة ,لو سمحت رتب الغرفه,من فضلك  نظم الغرفه 
10330,17219,corpus-6-train,MSA,هل لديكم نماذج لاستعمله في الفاكس ؟,عندكم نماذج أقدر أستخدمها للفكس؟,عندكم نماذج أقدر أستخدمها على الفاكس؟,B,Y,عندكم نماذج أقدر أستخدمها على الفاكس,هل لديكم نماذج لاستعمله في الفاكس ,عندكم نماذج أقدر أستخدمها على الفاكس,هل لديكم نماذج لاستعمله في الفاكس ,عندكم نماذج اقدر استخدمها علا الفاكس,هل لديكم نماذج لاستعمله في الفاكس 
10331,17221,corpus-6-train,MSA,لا أستطيع النوم من الألم .,ما أقدر أنام من الألم.,ما أقدر أنام من العوار.,B,Y,ما أقدر أنام من العوار,لا أستطيع النوم من الألم ,ما أقدر أنام من العوار,لا أستطيع النوم من الألم ,ما اقدر انام من العوار,لا استطيع النوم من الالم 
10332,17222,corpus-6-test-corpus-26-train,MSA,أود تصفيف شعري بالطريقة التي كان عليها من قبل .,أبي أصفف شعري نفس ما كان قبل.,أبي أصفف شعري نفس ما كان قبل.,B,Y,أبي أصفف شعري نفس ما كان قبل,أود تصفيف شعري بالطريقة التي كان عليها من قبل ,أبي أصفف شعري نفس ما كان قبل,أود تصفيف شعري بالطريقة التي كان عليها من قبل ,ابي اصفف شعري نفس ما كان قبل,اود تصفيف شعري بالطريقه التي كان عليها من قبل 
10333,17223,corpus-6-train,MSA,كم من الوقت يستغرق الذهاب إلى المحطة ؟,كم ياخذ وقت عشان نوصل للمحطة؟,كم ياخذ وقت عشان نوصل للمحطة؟,B,Y,كم ياخذ وقت عشان نوصل للمحطة,كم من الوقت يستغرق الذهاب إلى المحطة ,كم ياخذ وقت عشان نوصل للمحطة,كم من الوقت يستغرق الذهاب إلى المحطة ,كم ياخذ وقت عشان نوصل للمحطه,كم من الوقت يستغرق الذهاب الا المحطه 
10334,17224,corpus-6-dev,MSA,لم أستخدم خدمة المغسلة لديكم .,ما استخدمت خدمة المغسلة عندكم.,ما استخدمت خدمة المغسلة عندكم.,B,Y,ما استخدمت خدمة المغسلة عندكم,لم أستخدم خدمة المغسلة لديكم ,ما استخدمت خدمة المغسلة عندكم,لم أستخدم خدمة المغسلة لديكم ,ما استخدمت خدمه المغسله عندكم,لم استخدم خدمه المغسله لديكم 
10335,17225,corpus-6-train,MSA,أريد بعض وسائل منع الحمل .,أبي بعض وسائل منع الحمل.,أبي بعض وسائل منع الحمل.,B,Y,أبي بعض وسائل منع الحمل,أريد بعض وسائل منع الحمل ,أبي بعض وسائل منع الحمل,أريد بعض وسائل منع الحمل ,ابي بعض وساءل منع الحمل,اريد بعض وساءل منع الحمل 
10336,17226,corpus-6-train,MSA,أود أن أكد ثانية على رحلة طيراني يوم الحادي والثلاثين من يوليو المتوجهة من لندن إلى طوكيو . اسم العائلة تاناكا .,أبي أتأكد مره ثانية على رحلة طيارتي بتاريخ 31 يوليو من لندن إلى طوكيو. اسم العايلة تاناكا.,أبي أتأكد مره ثانية على رحلة طيارتي بتاريخ واحد وثلاثين يوليو من الكويت إلى طوكيو. اسم العايلة الشلاحي.,B,Y,أبي أتأكد مره ثانية على رحلة طيارتي بتاريخ واحد وثلاثين يوليو من الكويت إلى طوكيو اسم العايلة الشلاحي,أود أن أكد ثانية على رحلة طيراني يوم الحادي والثلاثين من يوليو المتوجهة من لندن إلى طوكيو  اسم العائلة تاناكا ,أبي أتأكد مره ثانية على رحلة طيارتي بتاريخ واحد وثلاثين يوليو من الكويت إلى طوكيو اسم العايلة الشلاحي,أود أن أكد ثانية على رحلة طيراني يوم الحادي والثلاثين من يوليو المتوجهة من لندن إلى طوكيو  اسم العائلة تاناكا ,ابي اتاكد مره ثانيه علا رحله طيارتي بتاريخ واحد وثلاثين يوليو من الكويت الا طوكيو اسم العايله الشلاحي,اود ان اكد ثانيه علا رحله طيراني يوم الحادي والثلاثين من يوليو المتوجهه من لندن الا طوكيو  اسم العاءله تاناكا 
10337,17228,corpus-6-train,MSA,هذا السعر مرتفع جداً بالنسبة لي .,هالسعر وايد غالي عليّ.,هالسعر وايد غالي عليّ.,B,Y,هالسعر وايد غالي علي,هذا السعر مرتفع جدا بالنسبة لي ,هالسعر وايد غالي علي,هذا السعر مرتفع جدا بالنسبة لي ,هالسعر وايد غالي علي,هذا السعر مرتفع جدا بالنسبه لي 
10338,17229,corpus-6-test-corpus-26-train,MSA,أعطني خمسين ، من فضلك .,عطني خمسين، لو سمحت.,عطني خمسين، لو سمحت.,B,Y,عطني خمسين لو سمحت,أعطني خمسين  من فضلك ,عطني خمسين لو سمحت,أعطني خمسين  من فضلك ,عطني خمسين لو سمحت,اعطني خمسين  من فضلك 
10339,17231,corpus-6-train,MSA,بالتأكيد . هل يمكنني أن أعرف اسمك ورقم تليفونك ؟,أكيد. أقدر أعرف اسمك ورقم تلفونك؟,أكيد. أقدر أعرف اسمك ورقم تلفونك؟,B,Y,أكيد أقدر أعرف اسمك ورقم تلفونك,بالتأكيد  هل يمكنني أن أعرف اسمك ورقم تليفونك ,أكيد أقدر أعرف اسمك ورقم تلفونك,بالتأكيد  هل يمكنني أن أعرف اسمك ورقم تليفونك ,اكيد اقدر اعرف اسمك ورقم تلفونك,بالتاكيد  هل يمكنني ان اعرف اسمك ورقم تليفونك 
10340,17233,corpus-6-train,MSA,كنت في حادثة موتوسيكل .,كنت في حادث موتوسيكل.,كنت في حادث سيكل.,B,Y,كنت في حادث سيكل,كنت في حادثة موتوسيكل ,كنت في حادث سيكل,كنت في حادثة موتوسيكل ,كنت في حادث سيكل,كنت في حادثه موتوسيكل 
10341,17236,corpus-6-train,MSA,معذرة إنني مضطر لإلغاء ميعادنا .,آسف، مجبور ألغي موعدنا.,آسف، مجبور ألغي موعدنا.,B,Y,آسف مجبور ألغي موعدنا,معذرة إنني مضطر لإلغاء ميعادنا ,آسف مجبور ألغي موعدنا,معذرة إنني مضطر لإلغاء ميعادنا ,اسف مجبور الغي موعدنا,معذره انني مضطر لالغاء ميعادنا 
10342,17237,corpus-6-train,MSA,أود أن أستأجر شقة مفروشة لمدة شهر .,أبي أأجر شقة مفروشة لمدة شهر.,أبي أأجر شقة مؤثثه لمدة شهر.,B,Y,أبي أأجر شقة مؤثثه لمدة شهر,أود أن أستأجر شقة مفروشة لمدة شهر ,أبي أأجر شقة مؤثثه لمدة شهر,أود أن أستأجر شقة مفروشة لمدة شهر ,ابي ااجر شقه مءثثه لمده شهر,اود ان استاجر شقه مفروشه لمده شهر 
10343,17240,corpus-6-train,MSA,عليك أن تفحص النباتات والحيوانات في الحجر الصحي إذا كان لديك أي منهم .,لازم تفحص النباتات والحيوانات في الحجر الصحي إذا عندك أي منهم.,لازم تفحص النباتات والحيوانات بالحجر الصحي إذا عندك منهم.,B,Y,لازم تفحص النباتات والحيوانات بالحجر الصحي إذا عندك منهم,عليك أن تفحص النباتات والحيوانات في الحجر الصحي إذا كان لديك أي منهم ,لازم تفحص النباتات والحيوانات بالحجر الصحي إذا عندك منهم,عليك أن تفحص النباتات والحيوانات في الحجر الصحي إذا كان لديك أي منهم ,لازم تفحص النباتات والحيوانات بالحجر الصحي اذا عندك منهم,عليك ان تفحص النباتات والحيوانات في الحجر الصحي اذا كان لديك اي منهم 
10344,17242,corpus-6-dev,MSA,اجلس مستقيماً .,اقعد عدل.,اقعد عدل.,B,Y,اقعد عدل,اجلس مستقيما ,اقعد عدل,اجلس مستقيما ,اقعد عدل,اجلس مستقيما 
10345,17243,corpus-6-train,MSA,أود تغيير خمسين ألف ين ياباني إلى دولارات .,أبي أغير خمسين ألف ين ياباني إلى دولارات.,أبي أغير خمسين ألف ين ياباني إلى دنانير.,B,Y,أبي أغير خمسين ألف ين ياباني إلى دنانير,أود تغيير خمسين ألف ين ياباني إلى دولارات ,أبي أغير خمسين ألف ين ياباني إلى دنانير,أود تغيير خمسين ألف ين ياباني إلى دولارات ,ابي اغير خمسين الف ين ياباني الا دنانير,اود تغيير خمسين الف ين ياباني الا دولارات 
10346,17244,corpus-6-train,MSA,هل يمكنني أن استلمها أسرع ؟ لأنني احتاجها في أسرع وقت ممكن .,أقدر أستلمها بأسرع وقت؟ لأني أحتاجها بأسرع ما يمكن.,أقدر أستلمها بسرعه؟ لأني أحتاجها بأسرع ما وقت.,B,Y,أقدر أستلمها بسرعه لأني أحتاجها بأسرع ما وقت,هل يمكنني أن استلمها أسرع  لأنني احتاجها في أسرع وقت ممكن ,أقدر أستلمها بسرعه لأني أحتاجها بأسرع ما وقت,هل يمكنني أن استلمها أسرع  لأنني احتاجها في أسرع وقت ممكن ,اقدر استلمها بسرعه لاني احتاجها باسرع ما وقت,هل يمكنني ان استلمها اسرع  لانني احتاجها في اسرع وقت ممكن 
10348,17247,corpus-6-train,MSA,احتاج نصف ساعة على الأقل لإعداد حقائبي .,أحتاج نص ساعة على الأقل أجهز جناطي.,أحتاج نص ساعة على الأقل أجهز جناطي.,B,Y,أحتاج نص ساعة على الأقل أجهز جناطي,احتاج نصف ساعة على الأقل لإعداد حقائبي ,أحتاج نص ساعة على الأقل أجهز جناطي,احتاج نصف ساعة على الأقل لإعداد حقائبي ,احتاج نص ساعه علا الاقل اجهز جناطي,احتاج نصف ساعه علا الاقل لاعداد حقاءبي 
10349,17249,corpus-6-train,MSA,هذه المشروبات الغازية مجاناً .,هالمشروبات الغازية ببلاش.,هالمشروبات الغازية ببلاش.,B,Y,هالمشروبات الغازية ببلاش,هذه المشروبات الغازية مجانا ,هالمشروبات الغازية ببلاش,هذه المشروبات الغازية مجانا ,هالمشروبات الغازيه ببلاش,هذه المشروبات الغازيه مجانا 
10350,17252,corpus-6-train,MSA,"معذرة ولكنني لا أعرف . فإنني سائح , أيضا .",آسف بس ما أعرف، أنا بعد سائح.,آسف بس ما أعرف، أنا بعد سائح.,B,Y,آسف بس ما أعرف أنا بعد سائح,معذرة ولكنني لا أعرف  فإنني سائح  أيضا ,آسف بس ما أعرف أنا بعد سائح,معذرة ولكنني لا أعرف  فإنني سائح  أيضا ,اسف بس ما اعرف انا بعد ساءح,معذره ولكنني لا اعرف  فانني ساءح  ايضا 
10351,17253,corpus-6-dev,MSA,أريد أن أتحدث معك أكثر .,أبي أتكلم معاك أكثر.,أبي أتكلم معاك أكثر.,B,Y,أبي أتكلم معاك أكثر,أريد أن أتحدث معك أكثر ,أبي أتكلم معاك أكثر,أريد أن أتحدث معك أكثر ,ابي اتكلم معاك اكثر,اريد ان اتحدث معك اكثر 
10352,17254,corpus-6-train,MSA,أود خليط من لحم الخنزير .,أبي خلطه من لحم الخنزير.,أبي تشكل لي من لحم الخروف.,B,Y,أبي تشكل لي من لحم الخروف,أود خليط من لحم الخنزير ,أبي تشكل لي من لحم الخروف,أود خليط من لحم الخنزير ,ابي تشكل لي من لحم الخروف,اود خليط من لحم الخنزير 
10353,17256,corpus-6-train,MSA,ما مقاسك ؟,شنو مقاسك؟,شنو مقاسك؟,B,Y,شنو مقاسك,ما مقاسك ,شنو مقاسك,ما مقاسك ,شنو مقاسك,ما مقاسك 
10354,17257,corpus-6-train,MSA,هل يمكنني أن أقيس ذلك ؟,ممكن أجرب هالشي؟,ممكن اقايس هالشي؟,B,Y,ممكن اقايس هالشي,هل يمكنني أن أقيس ذلك ,ممكن اقايس هالشي,هل يمكنني أن أقيس ذلك ,ممكن اقايس هالشي,هل يمكنني ان اقيس ذلك 
10355,17258,corpus-6-train,MSA,كما تري ، نحن نعاني من التأثير المباشر من حدوث الكساد .,مثل ما تشوف، إحنا نعاني من التأثير المباشر من حدوث الكساد.,مثل ما تشوف، إحنا نعاني من التأثير المباشر من حدوث الكساد.,B,Y,مثل ما تشوف إحنا نعاني من التأثير المباشر من حدوث الكساد,كما تري  نحن نعاني من التأثير المباشر من حدوث الكساد ,مثل ما تشوف إحنا نعاني من التأثير المباشر من حدوث الكساد,كما تري  نحن نعاني من التأثير المباشر من حدوث الكساد ,مثل ما تشوف احنا نعاني من التاثير المباشر من حدوث الكساد,كما تري  نحن نعاني من التاثير المباشر من حدوث الكساد 
10356,17260,corpus-6-train,MSA,هل يمكنك أن تجد لي مقعداً في رحلة طيران غدا من فضلك ؟,تقدر تلقى لي كرسي حق رحلة الطيارة باچر لو سمحت؟,تقدر تلقى لي كرسي حق رحلة الطيارة باچر لو سمحت؟,B,Y,تقدر تلقى لي كرسي حق رحلة الطيارة باچر لو سمحت,هل يمكنك أن تجد لي مقعدا في رحلة طيران غدا من فضلك ,تقدر تلقى لي كرسي حق رحلة الطيارة باچر لو سمحت,هل يمكنك أن تجد لي مقعدا في رحلة طيران غدا من فضلك ,تقدر تلقا لي كرسي حق رحله الطياره باچر لو سمحت,هل يمكنك ان تجد لي مقعدا في رحله طيران غدا من فضلك 
10357,17261,corpus-6-train,MSA,بالتأكيد . هل تود خمسة ورقات فئة عشرة دولارات ؟,أكيد. تبي خمس ورقات من فئة العشرة دولارات؟,أكيد. تبي خمس اوراق من فئة العشر دنانير؟,B,Y,أكيد تبي خمس اوراق من فئة العشر دنانير,بالتأكيد  هل تود خمسة ورقات فئة عشرة دولارات ,أكيد تبي خمس اوراق من فئة العشر دنانير,بالتأكيد  هل تود خمسة ورقات فئة عشرة دولارات ,اكيد تبي خمس اوراق من فءه العشر دنانير,بالتاكيد  هل تود خمسه ورقات فءه عشره دولارات 
10358,17262,corpus-6-train,MSA,أقيم في فندق إيه بي سي . من فضلك اتصل بي هناك .,أنا ساكن بفندق إيه بي سي. من فضلك دق علي هناك.,أنا حاجز بفندق هولي دي ان. لو سمحت دق علي من هناك.,B,Y,أنا حاجز بفندق هولي دي ان لو سمحت دق علي من هناك,أقيم في فندق إيه بي سي  من فضلك اتصل بي هناك ,أنا حاجز بفندق هولي دي ان لو سمحت دق علي من هناك,أقيم في فندق إيه بي سي  من فضلك اتصل بي هناك ,انا حاجز بفندق هولي دي ان لو سمحت دق علي من هناك,اقيم في فندق ايه بي سي  من فضلك اتصل بي هناك 
10359,17263,corpus-6-train,MSA,فاجئني بالظهور من شارع جانبي ولم يكن لدي الوقت كي أتجنبه .,فاجأني لما طلع من شارع فرعي وما كان عندي وقت أتفاداه.,صدمني لما طلع من شارع فرعي وما كان عندي وقت اتجنبه.,B,Y,صدمني لما طلع من شارع فرعي وما كان عندي وقت اتجنبه,فاجئني بالظهور من شارع جانبي ولم يكن لدي الوقت كي أتجنبه ,صدمني لما طلع من شارع فرعي وما كان عندي وقت اتجنبه,فاجئني بالظهور من شارع جانبي ولم يكن لدي الوقت كي أتجنبه ,صدمني لما طلع من شارع فرعي وما كان عندي وقت اتجنبه,فاجءني بالظهور من شارع جانبي ولم يكن لدي الوقت كي اتجنبه 
10360,17265,corpus-6-train,MSA,سأصطحب ابني إلى حديقة الحيوان .,بآخذ ولدي لحديقة الحيوانات.,بآخذ ولدي لحديقة الحيوانات.,B,Y,بآخذ ولدي لحديقة الحيوانات,سأصطحب ابني إلى حديقة الحيوان ,بآخذ ولدي لحديقة الحيوانات,سأصطحب ابني إلى حديقة الحيوان ,باخذ ولدي لحديقه الحيوانات,ساصطحب ابني الا حديقه الحيوان 
10361,17267,corpus-6-train,MSA,سنصل لوس أنجلوس بعد قيادة السيارة لما يقرب من خمسمائة وخمسون كيلو متر من سان فرانسيسكو صوب الجنوب .,راح نوصل لوس أنجلوس بعد ما نسوق السيارة تقريباً خمسمية وخمسين كيلو متر من سان فرانسيسكو صوب الجنوب.,راح نوصل العمرية بعد ما نسوق السيارة تقريباً خمسمية وخمسين كيلو متر من العدان صوب الجنوب.,B,Y,راح نوصل العمرية بعد ما نسوق السيارة تقريبا خمسمية وخمسين كيلو متر من العدان صوب الجنوب,سنصل لوس أنجلوس بعد قيادة السيارة لما يقرب من خمسمائة وخمسون كيلو متر من سان فرانسيسكو صوب الجنوب ,راح نوصل العمرية بعد ما نسوق السيارة تقريبا خمسمية وخمسين كيلو متر من العدان صوب الجنوب,سنصل لوس أنجلوس بعد قيادة السيارة لما يقرب من خمسمائة وخمسون كيلو متر من سان فرانسيسكو صوب الجنوب ,راح نوصل العمريه بعد ما نسوق السياره تقريبا خمسميه وخمسين كيلو متر من العدان صوب الجنوب,سنصل لوس انجلوس بعد قياده السياره لما يقرب من خمسماءه وخمسون كيلو متر من سان فرانسيسكو صوب الجنوب 
10363,17269,corpus-6-train,MSA,نود بطاطس مخبوزة من فضلك . ثم ضع الزبد على الجانب .,أبي بطاطا بالفرن لو سمحت. بعدين حط الزبدة على جنب.,أبي بطاطا بالفرن لو سمحت. بعدين حط الزبدة على جنب.,B,Y,أبي بطاطا بالفرن لو سمحت بعدين حط الزبدة على جنب,نود بطاطس مخبوزة من فضلك  ثم ضع الزبد على الجانب ,أبي بطاطا بالفرن لو سمحت بعدين حط الزبدة على جنب,نود بطاطس مخبوزة من فضلك  ثم ضع الزبد على الجانب ,ابي بطاطا بالفرن لو سمحت بعدين حط الزبده علا جنب,نود بطاطس مخبوزه من فضلك  ثم ضع الزبد علا الجانب 
10364,17270,corpus-6-train,MSA,ما تكلفة المعلم ؟,شلون تكلفه المعلم؟,جم تكلفه المعلم؟,B,Y,جم تكلفه المعلم,ما تكلفة المعلم ,جم تكلفه المعلم,ما تكلفة المعلم ,جم تكلفه المعلم,ما تكلفه المعلم 
10365,17271,corpus-6-train,MSA,هل انتهيت ؟,خلصت؟,خلصت؟,B,Y,خلصت,هل انتهيت ,خلصت,هل انتهيت ,خلصت,هل انتهيت 
10366,17272,corpus-6-test-corpus-26-train,MSA,أين يمكنني أن أقوم بإجراءات الدخول للخطوط الجوية اليابانية ؟,وين أقدر أسوي تشيك إن للخطوط الجوية اليابانية؟,وين أقدر أسوي تشيك إن للخطوط الجوية القطرية؟,B,Y,وين أقدر أسوي تشيك إن للخطوط الجوية القطرية,أين يمكنني أن أقوم بإجراءات الدخول للخطوط الجوية اليابانية ,وين أقدر أسوي تشيك إن للخطوط الجوية القطرية,أين يمكنني أن أقوم بإجراءات الدخول للخطوط الجوية اليابانية ,وين اقدر اسوي تشيك ان للخطوط الجويه القطريه,اين يمكنني ان اقوم باجراءات الدخول للخطوط الجويه اليابانيه 
